Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","10µF","C_1206_3216Metric",115.800000,-86.800000,270.000000,top
"C2","10µF","C_1206_3216Metric",125.400000,-86.775000,90.000000,top
"C3","12p","C_0402_1005Metric",124.100000,-78.400000,90.000000,top
"C4","12p","C_0402_1005Metric",129.300000,-78.400000,270.000000,top
"C5","100nf","C_0402_1005Metric",123.100000,-61.800000,90.000000,top
"C6","100nf","C_0402_1005Metric",124.700000,-61.820000,90.000000,top
"C7","100nf","C_0402_1005Metric",122.300000,-75.400000,270.000000,top
"C8","100nf","C_0402_1005Metric",104.100000,-66.900000,270.000000,top
"C9","100nf","C_0402_1005Metric",112.800000,-66.580000,270.000000,top
"C10","100nf","C_0402_1005Metric",104.100000,-68.800000,270.000000,top
"C11","100nf","C_0402_1005Metric",105.800000,-65.100000,180.000000,top
"C12","100nf","C_0402_1005Metric",104.100000,-70.700000,270.000000,top
"C13","100nf","C_0402_1005Metric",123.400000,-75.400000,270.000000,top
"D1","B581W","D_SOD-123",104.200000,-62.500000,180.000000,top
"FB1","100 @ 100 MHz","L_0805_2012Metric",109.100000,-62.500000,180.000000,top
"Q1","Q_NPN_BEC","SOT-23",138.000000,-85.300000,180.000000,top
"R1","2.2KΩ","R_0402_1005Metric",133.200000,-72.400000,180.000000,top
"R2","2.2KΩ","R_0402_1005Metric",133.200000,-70.400000,180.000000,top
"R3","2.2KΩ","R_0402_1005Metric",133.200000,-71.400000,180.000000,top
"R4","2.2KΩ","R_0402_1005Metric",133.200000,-69.400000,180.000000,top
"R5","2.2KΩ","R_0402_1005Metric",133.000000,-64.150000,180.000000,top
"R6","3.3KΩ","R_0402_1005Metric",139.100000,-64.100000,180.000000,top
"R7","3.3KΩ","R_0402_1005Metric",139.100000,-69.400000,180.000000,top
"R8","3.3KΩ","R_0402_1005Metric",139.100000,-71.400000,180.000000,top
"R9","3.3KΩ","R_0402_1005Metric",139.100000,-70.400000,180.000000,top
"R10","3.3KΩ","R_0402_1005Metric",139.100000,-72.400000,180.000000,top
"R11","R_Small","R_0402_1005Metric",116.200000,-68.000000,90.000000,top
"R12","1KΩ","R_0402_1005Metric",135.100000,-85.400000,180.000000,top
"R13","10KΩ","R_0402_1005Metric",135.600000,-83.700000,90.000000,top
"R14","10Ω","R_0603_1608Metric",139.800000,-81.900000,180.000000,top
"U1","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",122.700000,-68.400000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",120.600000,-88.900000,90.000000,top
"U3","MAX3232","SSOP-16_4.4x5.2mm_P0.65mm",108.400000,-68.600000,270.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",126.700000,-77.600000,0.000000,top
